Date,value
2008-08-26,109.61000061035156
2008-08-27,109.54000091552734
2008-08-28,109.41999816894531
2008-08-29,108.79000091552734
2008-09-01,108.05599975585938
2008-09-02,108.6500015258789
2008-09-03,108.3499984741211
2008-09-04,106.7300033569336
2008-09-05,107.68000030517578
2008-09-08,108.11000061035156
2008-09-09,107.27999877929688
2008-09-10,107.72000122070312
2008-09-11,106.9800033569336
2008-09-12,107.94000244140625
2008-09-15,104.2509994506836
2008-09-16,105.5199966430664
2008-09-17,104.31900024414062
2008-09-18,105.5
2008-09-19,107.41999816894531
2008-09-22,105.55999755859375
2008-09-23,105.71900177001953
2008-09-24,106.08000183105469
2008-09-25,106.31999969482422
2008-09-26,106.05000305175781
2008-09-29,103.84300231933594
2008-09-30,106.06999969482422
2008-10-01,105.94000244140625
2008-10-02,105.20999908447266
2008-10-03,105.30000305175781
2008-10-06,101.87999725341797
2008-10-07,101.45999908447266
2008-10-08,110.08999633789062
2008-10-09,99.51000213623047
2008-10-10,101.0999984741211
2008-10-13,102.27999877929688
2008-10-14,101.95999908447266
2008-10-15,99.72000122070312
2008-10-16,101.23999786376953
2008-10-17,101.6500015258789
2008-10-20,101.97000122070312
2008-10-21,100.3270034790039
2008-10-22,97.86000061035156
2008-10-23,97.47799682617188
2008-10-24,94.2699966430664
2008-10-27,93.19400024414062
2008-10-28,98.19999694824219
2008-10-29,97.5199966430664
2008-10-30,98.79000091552734
2008-10-31,98.44000244140625
2008-11-03,99.0
2008-11-04,99.73300170898438
2008-11-05,98.22000122070312
2008-11-06,97.2760009765625
2008-11-07,98.08999633789062
2008-11-10,97.97000122070312
2008-11-11,97.29100036621094
2008-11-12,94.80000305175781
2008-11-13,97.56999969482422
2008-11-14,97.0199966430664
2008-11-17,96.41000366210938
2008-11-18,96.74600219726562
2008-11-19,96.00299835205078
2008-11-20,94.05000305175781
2008-11-21,95.91000366210938
2008-11-24,96.87000274658203
2008-11-25,95.4469985961914
2008-11-26,95.60700225830078
2008-11-27,95.42900085449219
2008-11-28,95.5
2008-12-01,93.13999938964844
2008-12-02,93.1510009765625
2008-12-03,93.13999938964844
2008-12-04,92.44999694824219
2008-12-05,92.81999969482422
2008-12-08,109.23999786376953
2008-12-09,92.3030014038086
2008-12-10,92.83999633789062
2008-12-11,91.52999877929688
2008-12-12,91.06999969482422
2008-12-15,90.5
2008-12-16,88.68000030517578
2008-12-17,87.31999969482422
2008-12-18,89.50499725341797
2008-12-19,89.2699966430664
2008-12-22,90.16000366210938
2008-12-23,90.83999633789062
2008-12-24,90.5
2008-12-25,90.51399993896484
2008-12-26,90.7699966430664
2008-12-29,90.6520004272461
2008-12-30,90.29000091552734
2008-12-31,90.6500015258789
2009-01-01,90.66699981689453
2009-01-02,91.79000091552734
2009-01-05,93.21700286865234
2009-01-06,93.37999725341797
2009-01-07,92.68000030517578
2009-01-08,91.36000061035156
2009-01-09,90.37000274658203
2009-01-12,89.43000030517578
2009-01-13,89.34100341796875
2009-01-14,89.16000366210938
2009-01-15,89.94000244140625
2009-01-16,90.9000015258789
2009-01-19,90.62000274658203
2009-01-20,89.80999755859375
2009-01-21,89.05000305175781
2009-01-22,89.1259994506836
