Date,value
2008-08-11,47.75
2008-08-12,47.79999923706055
2008-08-13,47.70000076293945
2008-08-14,48.25
2008-08-15,48.15999984741211
2008-08-18,47.599998474121094
2008-08-19,47.0099983215332
2008-08-20,47.09000015258789
2008-08-21,46.869998931884766
2008-08-22,47.4900016784668
2008-08-25,46.4900016784668
2008-08-26,46.43000030517578
2008-08-27,46.72999954223633
2008-08-28,47.11000061035156
2008-08-29,46.119998931884766
2008-09-02,45.54999923706055
2008-09-03,45.119998931884766
2008-09-04,43.65999984741211
2008-09-05,43.45000076293945
2008-09-08,43.369998931884766
2008-09-09,42.45000076293945
2008-09-10,42.79999923706055
2008-09-11,43.599998474121094
2008-09-12,43.43000030517578
2008-09-15,42.08000183105469
2008-09-16,42.40999984741211
2008-09-17,40.209999084472656
2008-09-18,41.56999969482422
2008-09-19,42.900001525878906
2008-09-22,40.880001068115234
2008-09-23,40.56999969482422
2008-09-24,40.849998474121094
2008-09-25,41.5
2008-09-26,41.08000183105469
2008-09-29,37.81999969482422
2008-09-30,38.90999984741211
2008-10-01,38.5
2008-10-02,36.75
2008-10-03,36.18000030517578
2008-10-06,34.86000061035156
2008-10-07,32.650001525878906
2008-10-08,32.38999938964844
2008-10-09,31.520000457763672
2008-10-10,31.31999969482422
2008-10-13,35.130001068115234
2008-10-14,33.61000061035156
2008-10-15,30.600000381469727
2008-10-16,32.2599983215332
2008-10-17,32.29999923706055
2008-10-20,33.20000076293945
2008-10-21,31.479999542236328
2008-10-22,30.610000610351562
2008-10-23,30.489999771118164
2008-10-24,29.510000228881836
2008-10-27,28.690000534057617
2008-10-28,31.860000610351562
2008-10-29,31.780000686645508
2008-10-30,32.84000015258789
2008-10-31,32.88999938964844
2008-11-03,32.81999969482422
2008-11-04,33.75
2008-11-05,31.989999771118164
2008-11-06,30.559999465942383
2008-11-07,31.190000534057617
2008-11-10,30.770000457763672
2008-11-11,30.100000381469727
2008-11-12,28.709999084472656
2008-11-13,30.459999084472656
2008-11-14,28.979999542236328
2008-11-17,28.3700008392334
2008-11-18,28.34000015258789
2008-11-19,26.860000610351562
2008-11-20,25.559999465942383
2008-11-21,26.670000076293945
2008-11-24,28.299999237060547
2008-11-25,28.170000076293945
2008-11-26,29.350000381469727
2008-11-28,29.1200008392334
2008-12-01,26.93000030517578
2008-12-02,27.829999923706055
2008-12-03,28.6200008392334
2008-12-04,27.809999465942383
2008-12-05,28.940000534057617
2008-12-08,30.079999923706055
2008-12-09,30.010000228881836
2008-12-10,29.90999984741211
2008-12-11,29.09000015258789
2008-12-12,29.68000030517578
2008-12-15,29.15999984741211
