scan_date,series_scanned
2026-08-12,26
2026-08-13,26
2026-08-14,26
2026-08-17,26
2026-08-18,26
2026-08-19,26
2026-08-20,26
2026-08-21,26
2026-08-24,26
2026-08-25,26
2026-08-26,26
